Timeline Trace
Generated on: 2020-10-16 00:04:59
Msec since Epoch: 1602806699850
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
660.256354,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
660.309041,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
660.319316,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
660.324722,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
660.332429,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
660.337908,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
660.343247,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
660.34774,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
660.35537,clGetPlatformInfo|General,START,,,,,,,,,,,4,
660.361444,clGetPlatformInfo|General,END,,,,,,,,,,,4,
660.366151,clGetPlatformInfo|General,START,,,,,,,,,,,5,
660.371059,clGetPlatformInfo|General,END,,,,,,,,,,,5,
660.384966,clGetPlatformInfo|General,START,,,,,,,,,,,6,
660.390352,clGetPlatformInfo|General,END,,,,,,,,,,,6,
660.394819,clGetPlatformInfo|General,START,,,,,,,,,,,7,
660.399432,clGetPlatformInfo|General,END,,,,,,,,,,,7,
660.403967,clGetPlatformInfo|General,START,,,,,,,,,,,8,
660.408725,clGetPlatformInfo|General,END,,,,,,,,,,,8,
660.413153,clGetPlatformInfo|General,START,,,,,,,,,,,9,
660.417712,clGetPlatformInfo|General,END,,,,,,,,,,,9,
660.422225,clGetPlatformInfo|General,START,,,,,,,,,,,10,
660.426867,clGetPlatformInfo|General,END,,,,,,,,,,,10,
660.431311,clGetPlatformInfo|General,START,,,,,,,,,,,11,
660.435807,clGetPlatformInfo|General,END,,,,,,,,,,,11,
660.440317,clGetPlatformInfo|General,START,,,,,,,,,,,12,
660.445076,clGetPlatformInfo|General,END,,,,,,,,,,,12,
660.449536,clGetPlatformInfo|General,START,,,,,,,,,,,13,
660.454036,clGetPlatformInfo|General,END,,,,,,,,,,,13,
660.458482,clGetPlatformInfo|General,START,,,,,,,,,,,14,
660.462976,clGetPlatformInfo|General,END,,,,,,,,,,,14,
660.467361,clGetPlatformInfo|General,START,,,,,,,,,,,15,
660.471824,clGetPlatformInfo|General,END,,,,,,,,,,,15,
660.490983,clGetPlatformInfo|General,START,,,,,,,,,,,16,
660.496581,clGetPlatformInfo|General,END,,,,,,,,,,,16,
660.50118,clGetPlatformInfo|General,START,,,,,,,,,,,17,
660.50581,clGetPlatformInfo|General,END,,,,,,,,,,,17,
660.54817,clGetDeviceIDs|General,START,,,,,,,,,,,18,
660.558084,clGetDeviceIDs|General,END,,,,,,,,,,,18,
660.563224,clGetDeviceIDs|General,START,,,,,,,,,,,19,
660.568261,clGetDeviceIDs|General,END,,,,,,,,,,,19,
660.577797,clRetainDevice|General,START,,,,,,,,,,,20,
660.585979,clRetainDevice|General,END,,,,,,,,,,,20,
660.591179,clRetainDevice|General,START,,,,,,,,,,,21,
660.595925,clRetainDevice|General,END,,,,,,,,,,,21,
660.603952,clCreateContext|General,START,,,,,,,,,,,22,
714.527533,clCreateContext|General,END,,,,,,,,,,,22,
715.205561,clCreateProgramWithBinary|General,START,,,,,,,,,,,23,
5270.543137,clCreateProgramWithBinary|General,END,,,,,,,,,,,23,
5270.572701,clCreateCommandQueue|General,START,,,,,,,,,,,24,
5270.590234,clCreateCommandQueue|General,END,,,,,,,,,,,24,
5270.601919,clCreateKernel|General,START,,,,,,,,,,,25,
5271.986055,clCreateKernel|General,END,,,,,,,,,,,25,
5272.007021,clCreateBuffer|General,START,,,,,,,,,,,26,
5272.03059,clCreateBuffer|General,END,,,,,,,,,,,26,
5272.036674,clCreateBuffer|General,START,,,,,,,,,,,27,
5272.043229,clCreateBuffer|General,END,,,,,,,,,,,27,
5272.048173,clCreateBuffer|General,START,,,,,,,,,,,28,
5272.059252,clCreateBuffer|General,END,,,,,,,,,,,28,
5272.072313,clSetKernelArg|General,START,,,,,,,,,,,29,
5272.108902,clSetKernelArg|General,END,,,,,,,,,,,29,
5272.115462,clSetKernelArg|General,START,,,,,,,,,,,30,
5272.127594,clSetKernelArg|General,END,,,,,,,,,,,30,
5272.133264,clSetKernelArg|General,START,,,,,,,,,,,31,
5272.15027,clSetKernelArg|General,END,,,,,,,,,,,31,
5272.200621,clEnqueueMapBuffer|17320192,START,,,,,,,,,,,32,
5273.781815,clEnqueueMapBuffer|17320192,END,,,,,,,,,,,32,
5273.794996,clEnqueueMapBuffer|17320192,START,,,,,,,,,,,33,
5273.85121,clEnqueueMapBuffer|17320192,END,,,,,,,,,,,33,
5274.047863,clSetKernelArg|General,START,,,,,,,,,,,34,
5274.055367,clSetKernelArg|General,END,,,,,,,,,,,34,
5274.060567,clSetKernelArg|General,START,,,,,,,,,,,35,
5274.0658,clSetKernelArg|General,END,,,,,,,,,,,35,
5274.070586,clSetKernelArg|General,START,,,,,,,,,,,36,
5274.07525,clSetKernelArg|General,END,,,,,,,,,,,36,
5274.082647,clRetainMemObject|General,START,,,,,,,,,,,37,
5274.088834,clRetainMemObject|General,END,,,,,,,,,,,37,
5274.093544,clRetainMemObject|General,START,,,,,,,,,,,38,
5274.098583,clRetainMemObject|General,END,,,,,,,,,,,38,
5274.103271,clRetainMemObject|General,START,,,,,,,,,,,39,
5274.108151,clRetainMemObject|General,END,,,,,,,,,,,39,
5274.112694,clRetainMemObject|General,START,,,,,,,,,,,40,
5274.117344,clRetainMemObject|General,END,,,,,,,,,,,40,
5274.124306,clEnqueueMigrateMemObjects|17320192,START,,,,,,,,,,,41,
5274.142277,WRITE_BUFFER,QUEUE,0X0|bank1-bank2,32768,,,,,,,,,
5274.181943,WRITE_BUFFER,SUBMIT,0X0|bank1-bank2,32768,,,,,,,,,
5274.206647,clEnqueueMigrateMemObjects|17320192,END,,,,,,,,,,,41,
5274.21673,clReleaseMemObject|General,START,,,,,,,,,,,42,
5274.223877,clReleaseMemObject|General,END,,,,,,,,,,,42,
5274.228969,clReleaseMemObject|General,START,,,,,,,,,,,43,
5274.229596,WRITE_BUFFER,START,0X0|bank1-bank2|0X7f49057fe700,32768,,,,,,,2,None,
5274.243303,clReleaseMemObject|General,END,,,,,,,,,,,43,
5274.30713,clReleaseMemObject|General,START,,,,,,,,,,,44,
5274.317378,clReleaseMemObject|General,END,,,,,,,,,,,44,
5274.325291,clReleaseMemObject|General,START,,,,,,,,,,,45,
5274.333529,clReleaseMemObject|General,END,,,,,,,,,,,45,
5274.342467,clWaitForEvents|General,START,,,,,,,,,,,46,
5274.365454,WRITE_BUFFER,END,0X0|bank1-bank2|0X7f49057fe700,32768,,,,,,,2,None,
5274.404926,clWaitForEvents|General,END,,,,,,,,,,,46,
5274.417708,clEnqueueTask|17320192,START,,,,,,,,,,,47,
5274.44479,DEPENDENCY_EVENT,,3,4,
5287.051866,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,QUEUE,0X10846F0,1,,,,,,,,,
5287.079058,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,SUBMIT,0X10846F0,1,,,,,,,,,
5287.091188,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,START,0X10846F0,1,,,,,,,4,None,
5287.291062,clEnqueueTask|17320192,END,,,,,,,,,,,47,
5287.306655,clReleaseEvent|General,START,,,,,,,,,,,48,
